street address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
"1811 WARREN, St. Louis, MO",38.648973,-90.200934,1,rooftop,1811,Warren St,Saint Louis,MO,St. Louis city,63106,US,City of St Louis
"7300 VERMONT, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"5704 ACME, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1900 OLIVE, St. Louis, MO",38.631497,-90.207334,0.6,rooftop,1900,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"782 BAYARD, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"7928 CHURCH, St. Louis, MO",38.708064,-90.230682,1,rooftop,7928,Church Rd,Saint Louis,MO,St. Louis city,63147,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"3000 CHIPPEWA, St. Louis, MO",38.586903,-90.235206,1,rooftop,3000,Chippewa St,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"2800 TEXAS, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"4943 POTOMAC, St. Louis, MO",38.597317,-90.273094,1,rooftop,4943,Potomac St,Saint Louis,MO,St. Louis city,63139,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"2806 WYOMING, St. Louis, MO",38.59723,-90.229676,0.6,rooftop,2806,Wyoming St,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"1900 OLIVE, St. Louis, MO",38.631497,-90.207334,0.6,rooftop,1900,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"  HQ, St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1900 OLIVE, St. Louis, MO",38.631497,-90.207334,0.6,rooftop,1900,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"4495 LEE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"5900 LOTUS, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"6400 LUCILLE, St. Louis, MO",38.707249,-90.261937,0.4,nearest_rooftop_match,6350,Lucille Ave,Saint Louis,MO,St. Louis County,63136,US,St Louis
"8312 PEGGY, St. Louis, MO",38.713052,-90.236035,1,rooftop,8312,Peggy Ct,Saint Louis,MO,St. Louis city,63147,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1314 9TH, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"800 HAMILTON, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"800 HAMILTON, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"6000 ENRIGHT, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"6000 ENRIGHT, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"415 18TH, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"4819 SAN FRANCISCO, St. Louis, MO",38.675792,-90.245177,0.6,rooftop,4819,San Francisco Ave,Saint Louis,MO,St. Louis city,63115,US,City of St Louis
"5143 NORTHLAND, St. Louis, MO",38.670745,-90.260609,0.6,rooftop,5143,Northland Ave,Saint Louis,MO,St. Louis city,63113,US,City of St Louis
"4100 LEE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"2900 SALENA, St. Louis, MO",38.599277,-90.218174,1,rooftop,2900,Salena St,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"229 BATES, St. Louis, MO",38.563077,-90.243669,1,rooftop,229,Bates St,Saint Louis,MO,St. Louis city,63111,US,City of St Louis
"800 BAYARD, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
