Final Classification,Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,,state,street address,Zip,XCoord,YCoord
Assault,18-039966,2019-01,8/24/18 21:54, , , ,-1, ,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5621,ENRIGHT,48, , ,5629,ENRIGHT,St. Louis,MO,"5629 ENRIGHT, St. Louis, MO",63101,894650.3,1002194
Assault,18-047140,2019-01,10/3/18 18:30,Y, , ,1, ,41011,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4005,S GRAND BLVD,16, , ,3661,LIERMANN,St. Louis,MO,"3661 LIERMANN, St. Louis, MO",63101,900676.3,1022101
Assault,18-047140,2019-01,10/3/18 18:30,Y, , ,1, ,41011,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4005,S GRAND BLVD,16, , ,3661,LIERMANN,St. Louis,MO,"3661 LIERMANN, St. Louis, MO",63101,892933.4,1038924
Assault,18-057095,2019-01,12/2/18 17:38,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4900,UNION BLVD,71, ,4900 BLOCK, , ,St. Louis,MO,"   , St. Louis, MO",63101,907024.3,1017619
Assault,18-060487,2019-01,12/23/18 11:50,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,10800,LOOKAWAY DR,75, , ,10800,LOOKAWAY,St. Louis,MO,"10800 LOOKAWAY, St. Louis, MO",63137,897445.8,1003246
Assault,19-000005,2019-01,1/1/19 0:01,Y, , ,1, ,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,713,BIDDLE ST,62, , ,713,BIDDLE,St. Louis,MO,"713 BIDDLE, St. Louis, MO",63101,887231.2,1043366
Assault,19-000008,2019-01,1/1/19 0:13,Y, , ,1, ,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3211,UNIVERSITY ST,59, , ,3211,UNIVERSITY,St. Louis,MO,"3211 UNIVERSITY, St. Louis, MO",63106,0,0
Assault,19-000008,2019-01,1/1/19 0:13,Y, , ,1, ,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3211,UNIVERSITY ST,59, , ,3211,UNIVERSITY,St. Louis,MO,"3211 UNIVERSITY, St. Louis, MO",63106,0,0
Assault,19-000019,2019-01,1/1/19 1:28,Y, , ,1, ,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1800,LOCUST ST,36, , , , ,St. Louis,MO,"   , St. Louis, MO",63101,883184.1,1033624
Assault,19-000021,2019-01,1/1/19 1:31,Y, , ,1, ,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,721,N TUCKER BLVD,36, , ,721,TUCKER,St. Louis,MO,"721 TUCKER, St. Louis, MO",63141,884675.9,1030679
