Final Classification,Zip,Crime Count
Sex Crime,63031,1
Arson,63044,1
Assault,63044,4
Robbery,63044,2
Arson,63101,82
Assault,63101,2431
DUI,63101,68
Homicide,63101,82
Liquor Possession by Minor,63101,10
Rape,63101,65
Robbery,63101,492
Sex Crime,63101,85
Assault,63102,56
DUI,63102,1
Homicide,63102,1
Liquor Possession by Minor,63102,1
Rape,63102,3
Robbery,63102,7
Sex Crime,63102,7
Assault,63103,84
Rape,63103,13
Robbery,63103,11
Sex Crime,63103,9
Arson,63104,3
Assault,63104,125
Liquor Possession by Minor,63104,8
Rape,63104,5
Robbery,63104,17
Sex Crime,63104,7
Arson,63106,2
Assault,63106,121
Homicide,63106,1
Rape,63106,3
Robbery,63106,17
Sex Crime,63106,2
Arson,63107,7
Assault,63107,113
DUI,63107,1
Homicide,63107,5
Rape,63107,3
Robbery,63107,32
Sex Crime,63107,2
Arson,63108,2
Assault,63108,46
Homicide,63108,1
Rape,63108,1
Robbery,63108,16
Sex Crime,63108,4
Assault,63109,22
Homicide,63109,1
Rape,63109,1
Robbery,63109,8
Sex Crime,63109,2
Assault,63110,52
DUI,63110,3
Rape,63110,3
Robbery,63110,14
Sex Crime,63110,1
Arson,63111,8
Assault,63111,99
DUI,63111,2
Homicide,63111,5
Rape,63111,5
Robbery,63111,14
Sex Crime,63111,2
Assault,63112,88
DUI,63112,1
Homicide,63112,2
Rape,63112,3
Robbery,63112,25
Arson,63113,8
Assault,63113,132
Homicide,63113,4
Rape,63113,3
Robbery,63113,13
Sex Crime,63113,3
Arson,63115,2
Assault,63115,97
Homicide,63115,2
Rape,63115,3
Robbery,63115,32
Sex Crime,63115,1
Arson,63116,2
Assault,63116,148
DUI,63116,2
Homicide,63116,3
Rape,63116,3
Robbery,63116,18
Sex Crime,63116,6
Assault,63117,3
DUI,63117,1
Liquor Possession by Minor,63117,1
Robbery,63117,1
Arson,63118,5
Assault,63118,168
DUI,63118,1
Homicide,63118,6
Rape,63118,4
Robbery,63118,35
Sex Crime,63118,3
Assault,63119,2
Arson,63120,3
Assault,63120,104
Homicide,63120,6
Rape,63120,1
Robbery,63120,13
Assault,63121,2
Robbery,63121,1
Assault,63122,6
Rape,63122,1
Assault,63123,3
Robbery,63123,1
Assault,63125,67
DUI,63125,2
Rape,63125,10
Robbery,63125,18
Sex Crime,63125,3
Rape,63128,1
Arson,63129,2
Assault,63129,37
DUI,63129,1
Homicide,63129,1
Rape,63129,1
Robbery,63129,7
Sex Crime,63129,1
Assault,63130,4
Rape,63130,1
Assault,63131,1
Robbery,63131,1
Assault,63132,32
Homicide,63132,1
Rape,63132,1
Robbery,63132,5
Sex Crime,63132,1
Assault,63134,7
Rape,63134,1
Robbery,63134,3
Sex Crime,63134,1
Assault,63136,26
Homicide,63136,1
Rape,63136,1
Robbery,63136,3
Sex Crime,63136,2
Arson,63137,3
Assault,63137,14
Robbery,63137,4
Sex Crime,63137,1
Assault,63138,2
Robbery,63138,5
Assault,63139,24
DUI,63139,1
Homicide,63139,1
Robbery,63139,4
Assault,63141,7
Rape,63141,1
Robbery,63141,2
Assault,63143,5
Robbery,63144,5
Arson,63147,4
Assault,63147,144
DUI,63147,2
Homicide,63147,9
Rape,63147,2
Robbery,63147,23
Sex Crime,63147,4
